=======================·ûºÅ±í=======================
NO		name		address		type		
0		result		-858993460		0
1		a		-858993460		0
2		b		-858993460		0
3		c		-858993460		0
4		B		8		-858993460
5		A		8		-858993460
6		E		8		-858993460
7		B		5		-858993460
8		A		5		-858993460
9		E		5		-858993460
10		B		3		-858993460
11		A		3		-858993460
12		E		3		-858993460
13		B		1		-858993460
14		A		1		-858993460
15		B		2		-858993460
16		A		-858993460		-858993460
17		E		16		-858993460
18		B		1		-858993460
19		A		1		-858993460
20		E		1		-858993460
21		B		2		-858993460
22		A		2		-858993460
23		E		-858993460		-858993460
24		B		23		-858993460
25		A		23		-858993460
26		E		-858993460		-858993460
27		B		3		-858993460
28		A		3		-858993460
29		E		-858993460		-858993460
30		M		29		-858993460
31		M		30		-858993460
32		M		31		-858993460
33		M		32		-858993460
34		M		33		-858993460
35		M		34		-858993460
36		M		35		-858993460
37		M		36		-858993460
